time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2019-01-21 20:00:00,1.28956,1.28964,1.28828,1.28902,8106,12,0,2019-01-21 20:00:00,2019-01-21 20:00:00
2019-01-22 00:00:00,1.28915,1.2899,1.28854,1.28868,7396,12,0,2019-01-22 03:30:00,2019-01-22 02:30:00
2019-01-22 04:00:00,1.28869,1.2893,1.28704,1.28724,9702,12,0,2019-01-22 07:30:00,2019-01-22 04:30:00
2019-01-22 08:00:00,1.28721,1.29195,1.28545,1.29128,22005,12,0,2019-01-22 09:30:00,2019-01-22 11:30:00
2019-01-22 12:00:00,1.29126,1.29272,1.28895,1.29209,23730,12,0,2019-01-22 14:30:00,2019-01-22 12:00:00
2019-01-22 16:00:00,1.29209,1.29704,1.29115,1.29631,24756,12,0,2019-01-22 16:00:00,2019-01-22 19:30:00
2019-01-22 20:00:00,1.29631,1.29747,1.29508,1.29561,10411,9,0,2019-01-22 23:00:00,2019-01-22 21:00:00
2019-01-23 00:00:00,1.29563,1.2962,1.29483,1.29502,7923,12,0,2019-01-23 03:30:00,2019-01-23 01:00:00
2019-01-23 04:00:00,1.29502,1.2964,1.29435,1.29473,8238,9,0,2019-01-23 07:30:00,2019-01-23 05:00:00
2019-01-23 08:00:00,1.29473,1.30037,1.29407,1.29849,24866,12,0,2019-01-23 08:00:00,2019-01-23 11:30:00
2019-01-23 12:00:00,1.29849,1.30416,1.29677,1.30303,30467,12,0,2019-01-23 12:00:00,2019-01-23 14:00:00
2019-01-23 16:00:00,1.30304,1.30803,1.30247,1.30656,25114,12,0,2019-01-23 16:00:00,2019-01-23 17:30:00
2019-01-23 20:00:00,1.30659,1.30736,1.3059,1.3067,9501,12,0,2019-01-23 20:00:00,2019-01-23 22:30:00
2019-01-24 00:00:00,1.30678,1.30935,1.30663,1.30797,8666,12,0,2019-01-24 00:00:00,2019-01-24 02:30:00
2019-01-24 04:00:00,1.30797,1.30813,1.30684,1.30738,8025,12,0,2019-01-24 06:30:00,2019-01-24 04:00:00
2019-01-24 08:00:00,1.30739,1.30792,1.30265,1.30454,27275,12,0,2019-01-24 10:00:00,2019-01-24 08:00:00
2019-01-24 12:00:00,1.30454,1.30484,1.30115,1.30349,26927,12,0,2019-01-24 15:00:00,2019-01-24 12:00:00
2019-01-24 16:00:00,1.30349,1.30574,1.30137,1.3016,31125,12,0,2019-01-24 19:30:00,2019-01-24 17:00:00
2019-01-24 20:00:00,1.30161,1.30656,1.30127,1.30628,11245,8,0,2019-01-24 20:00:00,2019-01-24 23:00:00
2019-01-25 00:00:00,1.30615,1.31281,1.30563,1.31009,12854,12,0,2019-01-25 00:00:00,2019-01-25 01:30:00
